key,sKey,title,desc,denom,numerator,xaxis
1,Agroforestry,Agro-forestry vs monoculture,"On average, using agroforestry was ${avg} %{less|more} effective than monoculture",Monocrop yields better,Agroforestry yields better,Percent difference
2,Biochar,Biochar vs Control,"On average, using biochar was ${avg} %{less|more} effective compared to not using it",Control yields better,Biochar yields better,Percent difference
3,Biofertilizer,Biofertilization vs control,"On average, using biofertilizers was ${avg} %{less|more} effective compared to not using them",Control yields better,Biofertilization better,Percent difference
4,Genetic diversity,Genetic diversity vs monoculture,"On average, using  diverse cultivar mixes was ${avg} %{less|more} effective compared to monocultures",Monocrop yields better,Cultivar mix yields better,Land equivalent ratio
5,GMO,GMO vs non-GMO,"On average, GMOs where ${avg} %{less|more} effective compared to non-GMOs",Non-GMO yields better,GMO yields better,Percent difference
6,Green manure,Green Manure vs None,"On average, using green manure in addition to fertilizers was ${avg} %{less|more} effective than not using it",Control yields better,Green manure yields better,Percent difference
7,Intercropping,Intercrop vs Monocrop,"On average, using intercrops were ${avg} %{less|more} effective compared to monocultures",Monocrop yields better,Intercrop yields better,Land equivalent ratio
8,No-Till,No-Till vs Till,"On average, using no-till was ${avg} %{less|more} effective compared to not using it",Till yields better,No-Till yields better,Percent difference
9,Organic,Organic vs Conventional,"Organic was, on average, ${avg} %{less|more} effective compared to conventional",Conventional yields better,Organic yields better,Percent difference
10,Organic fertilizer,Organic fertilizer vs. Synthetic fertilizer,"On average, using a mix of organic and synthetic nitrogen was ${avg} %{less|more} effective than only using synthetic nitrogen, with substitution rates of 25-75%",Synthetic yields better,Organic yields better,Percent difference
11,Slow release fertilizer,Slow release vs Conventional,"On average, using slow release nitrogen fertilizer was ${avg} %{less|more} effective than using conventional fertilizer",Control yields better,Slow release yields better,Percent difference
12,Intercropping (weed),Intercrop vs Monocrop (weed),"On average, using intercrops for controlling weeds was ${avg} %{less|more} effective compared to monocultures",Monocrop yields better,Intercrop yields better,Percent difference
13,Woody amendment,Wood ammendment vs. None,"On average, using wood amendments was ${avg} %{less|more} effective than not using them",Control yields better,Wood yields better ,Percent difference
