"y","x","effectSize","sampleSize","country","key","location","author","crop","intercrops","duration","climate","soil"
39.03,-76.88,-0.268,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.378,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.141,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.265,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.383,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.856,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.836,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.137,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.161,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.239,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.226,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.503,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.576,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
